Freq.	S11(V1)	S12(V1)	S21(V1)	S22(V1)
1.00948530189857e+08	6.87231482722136e-01,-1.88414764344208e-01	1.38282964990055e-03,1.10345978033048e-02	-2.02395007339816e+01,3.57812061899347e+00	9.49761781730470e-01,-1.48746538928970e-01
1.00971777124234e+08	6.87217426460727e-01,-1.88455969144437e-01	1.38344079295297e-03,1.10370467791023e-02	-2.02392492307090e+01,3.57890567120317e+00	9.49751179080612e-01,-1.48779153178202e-01
1.00995029412032e+08	6.87203363852274e-01,-1.88497182792465e-01	1.38405220923509e-03,1.10394962560656e-02	-2.02389976145328e+01,3.57969088636323e+00	9.49740571734076e-01,-1.48811773676506e-01
1.01018287054483e+08	6.87189295377810e-01,-1.88538403256756e-01	1.38466388337102e-03,1.10419462379146e-02	-2.02387458935704e+01,3.58047623625625e+00	9.49729959906348e-01,-1.48844400089771e-01
1.01041550052821e+08	6.87175220473368e-01,-1.88579632560076e-01	1.38527583835382e-03,1.10443967195698e-02	-2.02384940561401e+01,3.58126176263044e+00	9.49719343177926e-01,-1.48877034048804e-01
1.01064818408279e+08	6.87161139663097e-01,-1.88620869232430e-01	1.38588804664260e-03,1.10468477071080e-02	-2.02382421158343e+01,3.58204741506243e+00	9.49708722146738e-01,-1.48909672458933e-01
1.01088092122091e+08	6.87147052534448e-01,-1.88662114250622e-01	1.38650053232722e-03,1.10492991954729e-02	-2.02379900609151e+01,3.58283323731067e+00	9.49698096261690e-01,-1.48942318351381e-01
1.01111371195490e+08	6.87132958949358e-01,-1.88703368129480e-01	1.38711330065251e-03,1.10517511835642e-02	-2.02377378886954e+01,3.58361923873189e+00	9.49687465432781e-01,-1.48974972020592e-01
1.01134655629712e+08	6.87118859547511e-01,-1.88744628889934e-01	1.38772632074588e-03,1.10542036782663e-02	-2.02374856145582e+01,3.58440536287271e+00	9.49676830297677e-01,-1.49007630387131e-01
1.01157945425989e+08	6.87104753839583e-01,-1.88785898033890e-01	1.38833961619578e-03,1.10566566744974e-02	-2.02372332267711e+01,3.58519165253704e+00	9.49666190370297e-01,-1.49040295784366e-01
1.01181240585558e+08	6.87090642154091e-01,-1.88827174580858e-01	1.38895317057797e-03,1.10591101759481e-02	-2.02369807334850e+01,3.58597807761817e+00	9.49655545996935e-01,-1.49072966483389e-01
1.01204541109654e+08	6.87076523845166e-01,-1.88868460532930e-01	1.38956701475284e-03,1.10615641759250e-02	-2.02367281193301e+01,3.58676469412978e+00	9.49644896545005e-01,-1.49105645495247e-01
1.01227846999511e+08	6.87062399863937e-01,-1.88909752915465e-01	1.39018110337858e-03,1.10640186845170e-02	-2.02364754069241e+01,3.58755141932668e+00	9.49634242943423e-01,-1.49138328391738e-01
1.01251158256365e+08	6.87048269173006e-01,-1.88951054704240e-01	1.39079548957414e-03,1.10664736902357e-02	-2.02362225700055e+01,3.58833834973143e+00	9.49623584056002e-01,-1.49171020909761e-01
1.01274474881453e+08	6.87034132687061e-01,-1.88992363462148e-01	1.39141012357812e-03,1.10689292039527e-02	-2.02359696330364e+01,3.58912539456908e+00	9.49612920983361e-01,-1.49203717236149e-01
1.01297796876010e+08	6.87019989563553e-01,-1.89033681679442e-01	1.39202504742219e-03,1.10713852165640e-02	-2.02357165751826e+01,3.58991263014014e+00	9.49602252840523e-01,-1.49236421746422e-01
1.01321124241273e+08	6.87005840401952e-01,-1.89075007369692e-01	1.39264023413196e-03,1.10738417341647e-02	-2.02354634099925e+01,3.59070000718370e+00	9.49591580158577e-01,-1.49269132053538e-01
1.01344456978479e+08	6.86991685178463e-01,-1.89116340541969e-01	1.39325568568184e-03,1.10762987564506e-02	-2.02352101365475e+01,3.59148752911484e+00	9.49580902886802e-01,-1.49301848471741e-01
1.01367795088864e+08	6.86977523596817e-01,-1.89157682216874e-01	1.39387141465584e-03,1.10787562806946e-02	-2.02349567484888e+01,3.59227521862224e+00	9.49570220787495e-01,-1.49334571978301e-01
1.01391138573667e+08	6.86963356024369e-01,-1.89199031431851e-01	1.39448740078134e-03,1.10812143113832e-02	-2.02347032557748e+01,3.59306303866221e+00	9.49559534312598e-01,-1.49367300163994e-01
1.01414487434125e+08	6.86949182005069e-01,-1.89240389158309e-01	1.39510367222468e-03,1.10836728426070e-02	-2.02344496447514e+01,3.59385104025642e+00	9.49548842801061e-01,-1.49400036756893e-01
1.01437841671476e+08	6.86935001789723e-01,-1.89281754946665e-01	1.39572021208224e-03,1.10861318780359e-02	-2.02341959235617e+01,3.59463919248111e+00	9.49538146663919e-01,-1.49432779336571e-01
1.01461201286958e+08	6.86920815509532e-01,-1.89323128310392e-01	1.39633701512873e-03,1.10885914189615e-02	-2.02339420948890e+01,3.59542748566701e+00	9.49527445995539e-01,-1.49465527546201e-01
1.01484566281809e+08	6.86906622827280e-01,-1.89364510259888e-01	1.39695409788998e-03,1.10910514618461e-02	-2.02336881505257e+01,3.59621594964063e+00	9.49516740451266e-01,-1.49498283053524e-01
1.01507936657269e+08	6.86892423913692e-01,-1.89405900322072e-01	1.39757145126241e-03,1.10935120087721e-02	-2.02334340949692e+01,3.59700456767749e+00	9.49506030230902e-01,-1.49531044815347e-01
1.01531312414576e+08	6.86878218899498e-01,-1.89447298012366e-01	1.39818907004092e-03,1.10959730610219e-02	-2.02331799308834e+01,3.59779333014868e+00	9.49495315427548e-01,-1.49563812476451e-01
1.01554693554969e+08	6.86864007446746e-01,-1.89488704342657e-01	1.39880697078555e-03,1.10984346150477e-02	-2.02329256500436e+01,3.59858226691901e+00	9.49484595695880e-01,-1.49596587706487e-01
1.01578080079689e+08	6.86849790194384e-01,-1.89530117346053e-01	1.39942512264782e-03,1.11008966777606e-02	-2.02326712678251e+01,3.59937132183454e+00	9.49473871673648e-01,-1.49629367440436e-01
1.01601471989976e+08	6.86835566375283e-01,-1.89571539543827e-01	1.40004356007568e-03,1.11033592415782e-02	-2.02324167669398e+01,3.60016055719412e+00	9.49463142683626e-01,-1.49662154686623e-01
1.01624869287069e+08	6.86821336352178e-01,-1.89612969431188e-01	1.40066227117881e-03,1.11058223093980e-02	-2.02321621536362e+01,3.60094995125201e+00	9.49452408897762e-01,-1.49694949117356e-01
1.01648271972209e+08	6.86807100102119e-01,-1.89654407573860e-01	1.40128124971037e-03,1.11082858824706e-02	-2.02319074306148e+01,3.60173949247451e+00	9.49441670541368e-01,-1.49727748981880e-01
1.01671680046637e+08	6.86792857518807e-01,-1.89695853963817e-01	1.40190050556328e-03,1.11107499588619e-02	-2.02316525932362e+01,3.60252919862079e+00	9.49430927348517e-01,-1.49760555978082e-01
1.01695093511594e+08	6.86778608928138e-01,-1.89737307634841e-01	1.40252002242352e-03,1.11132145422578e-02	-2.02313976495992e+01,3.60331903993930e+00	9.49420179663743e-01,-1.49793368394326e-01
1.01718512368321e+08	6.86764353874199e-01,-1.89778770113030e-01	1.40313982028524e-03,1.11156796282770e-02	-2.02311425896421e+01,3.60410905246499e+00	9.49409427100555e-01,-1.49826187892369e-01
1.01741936618060e+08	6.86750092446114e-01,-1.89820240907080e-01	1.40375989792038e-03,1.11181452173890e-02	-2.02308874141682e+01,3.60489923378449e+00	9.49398669644885e-01,-1.49859014810831e-01
1.01765366262053e+08	6.86735825009697e-01,-1.89861719064229e-01	1.40438023511306e-03,1.11206113140805e-02	-2.02306321331013e+01,3.60568954709450e+00	9.49387907747185e-01,-1.49891846752030e-01
1.01788801301542e+08	6.86721551341149e-01,-1.89903205090598e-01	1.40500084517200e-03,1.11230779155907e-02	-2.02303767399727e+01,3.60648001631966e+00	9.49377141100518e-01,-1.49924685405594e-01
1.01812241737769e+08	6.86707271179718e-01,-1.89944700029183e-01	1.40562173697634e-03,1.11255450199377e-02	-2.02301212301567e+01,3.60727065732798e+00	9.49366369569896e-01,-1.49957531074336e-01
1.01835687571978e+08	6.86692985083886e-01,-1.89986201894853e-01	1.40624288750450e-03,1.11280126324408e-02	-2.02298656153564e+01,3.60806142828367e+00	9.49355593579868e-01,-1.49990382075755e-01
1.01859138805411e+08	6.86678692636056e-01,-1.90027712230022e-01	1.40686431291768e-03,1.11304807494987e-02	-2.02296098873036e+01,3.60885235823549e+00	9.49344812848878e-01,-1.50023239388466e-01
1.01882595439312e+08	6.86664393571260e-01,-1.90069231530607e-01	1.40748603048667e-03,1.11329493675297e-02	-2.02293540376692e+01,3.60964347823606e+00	9.49334026962319e-01,-1.50056105391648e-01
1.01906057474924e+08	6.86650088451256e-01,-1.90110758361654e-01	1.40810800884132e-03,1.11354184934447e-02	-2.02290980818390e+01,3.61043473134938e+00	9.49323236623593e-01,-1.50088976330871e-01
1.01929524913492e+08	6.86635777521064e-01,-1.90152291737771e-01	1.40873023951578e-03,1.11378881293226e-02	-2.02288420242247e+01,3.61122610211196e+00	9.49312441963154e-01,-1.50121851875248e-01
1.01952997756260e+08	6.86621459694961e-01,-1.90193835184383e-01	1.40935277175080e-03,1.11403582642649e-02	-2.02285858401487e+01,3.61201767932985e+00	9.49301642006968e-01,-1.50154736392349e-01
1.01976476004471e+08	6.86607135570971e-01,-1.90235386732360e-01	1.40997557863927e-03,1.11428289043903e-02	-2.02283295431290e+01,3.61280941417623e+00	9.49290837284969e-01,-1.50187627516463e-01
1.01999959659371e+08	6.86592805433632e-01,-1.90276945410689e-01	1.41059864783101e-03,1.11453000525764e-02	-2.02280731393980e+01,3.61360128415975e+00	9.49280028033651e-01,-1.50220524231847e-01
1.02023448722206e+08	6.86578468980276e-01,-1.90318512254249e-01	1.41122199220021e-03,1.11477717060206e-02	-2.02278166224639e+01,3.61439331234880e+00	9.49269214010758e-01,-1.50253427535302e-01
1.02046943194219e+08	6.86564126378465e-01,-1.90360086803879e-01	1.41184560277575e-03,1.11502438667837e-02	-2.02275599967516e+01,3.61518548235579e+00	9.49258395413070e-01,-1.50286336399588e-01
1.02070443076658e+08	6.86549777441753e-01,-1.90401669584916e-01	1.41246948908331e-03,1.11527165328709e-02	-2.02273032575582e+01,3.61597781119611e+00	9.49247572037212e-01,-1.50319251835165e-01
1.02093948370767e+08	6.86535422023513e-01,-1.90443261135584e-01	1.41309365674657e-03,1.11551897030891e-02	-2.02270464020110e+01,3.61677030882241e+00	9.49236743786271e-01,-1.50352174166032e-01
1.02117459077794e+08	6.86521060013433e-01,-1.90484861458946e-01	1.41371811586035e-03,1.11576633754485e-02	-2.02267894253695e+01,3.61756299326194e+00	9.49225910389943e-01,-1.50385105102775e-01
1.02140975198984e+08	6.86506692286754e-01,-1.90526468130022e-01	1.41434282048136e-03,1.11601375601273e-02	-2.02265323503067e+01,3.61835578143336e+00	9.49215072845089e-01,-1.50418039549736e-01
1.02164496735585e+08	6.86492318185241e-01,-1.90568083171244e-01	1.41496780204566e-03,1.11626122502421e-02	-2.02262751611639e+01,3.61914872986704e+00	9.49204230507511e-01,-1.50450980543503e-01
1.02188023688843e+08	6.86477937598092e-01,-1.90609706587222e-01	1.41559307067477e-03,1.11650874437939e-02	-2.02260178531824e+01,3.61994185663120e+00	9.49193383105840e-01,-1.50483929796781e-01
1.02211556060006e+08	6.86463550538150e-01,-1.90651338969318e-01	1.41621861636230e-03,1.11675631428111e-02	-2.02257604308212e+01,3.62073514346023e+00	9.49182530969819e-01,-1.50516884888984e-01
1.02235093850322e+08	6.86449157482600e-01,-1.90692978318035e-01	1.41684442397839e-03,1.11700393510024e-02	-2.02255029020759e+01,3.62152856292448e+00	9.49171674308693e-01,-1.50549845524086e-01
1.02258637061039e+08	6.86434758086232e-01,-1.90734625661303e-01	1.41747051042265e-03,1.11725160647223e-02	-2.02252452585549e+01,3.62232214529561e+00	9.49160812770572e-01,-1.50582813391854e-01
1.02282185693404e+08	6.86420352438349e-01,-1.90776281068926e-01	1.41809686624354e-03,1.11749932860100e-02	-2.02249875046814e+01,3.62311587334327e+00	9.49149946618026e-01,-1.50615786773235e-01
1.02305739748666e+08	6.86405940310147e-01,-1.90817945059059e-01	1.41872350499023e-03,1.11774710120343e-02	-2.02247296338641e+01,3.62390977128954e+00	9.49139075538916e-01,-1.50648767372236e-01
1.02329299228075e+08	6.86391521669971e-01,-1.90859617664811e-01	1.41935042899801e-03,1.11799492423999e-02	-2.02244716449956e+01,3.62470384314205e+00	9.49128199474570e-01,-1.50681755531660e-01
1.02352864132878e+08	6.86377096723630e-01,-1.90901298447071e-01	1.41997762545924e-03,1.11824279799652e-02	-2.02242135443015e+01,3.62549806564142e+00	9.49117318727357e-01,-1.50714749547663e-01
1.02376434464327e+08	6.86362665988122e-01,-1.90942985422956e-01	1.42060507534465e-03,1.11849072292501e-02	-2.02239553416057e+01,3.62629240438145e+00	9.49106433612853e-01,-1.50747748441667e-01
1.02400010223669e+08	6.86348228567950e-01,-1.90984681640405e-01	1.42123281699503e-03,1.11873869816748e-02	-2.02236970175499e+01,3.62708692815647e+00	9.49095543403639e-01,-1.50780755230510e-01
1.02423591412156e+08	6.86333785100337e-01,-1.91026385155815e-01	1.42186081961888e-03,1.11898672441882e-02	-2.02234385874730e+01,3.62788158138117e+00	9.49084648735927e-01,-1.50813766876363e-01
1.02447178031037e+08	6.86319334568164e-01,-1.91068098980209e-01	1.42248913338332e-03,1.11923480057621e-02	-2.02231800264729e+01,3.62867645408901e+00	9.49073748560687e-01,-1.50846788458274e-01
1.02470770081564e+08	6.86304878238251e-01,-1.91109819179262e-01	1.42311769825526e-03,1.11948292798889e-02	-2.02229213645069e+01,3.62947143813588e+00	9.49062844102120e-01,-1.50879814242855e-01
1.02494367564986e+08	6.86290415528699e-01,-1.91151547806769e-01	1.42374653800662e-03,1.11973110612441e-02	-2.02226625895046e+01,3.63026657607362e+00	9.49051934926286e-01,-1.50912845901235e-01
1.02517970482555e+08	6.86275946915719e-01,-1.91193282871216e-01	1.42437563756802e-03,1.11997933535391e-02	-2.02224037094410e+01,3.63106184066331e+00	9.49041021241815e-01,-1.50945883146338e-01
1.02541578835522e+08	6.86261471226640e-01,-1.91235028431966e-01	1.42500504608682e-03,1.12022761456894e-02	-2.02221446994247e+01,3.63185731999763e+00	9.49030102131335e-01,-1.50978929660387e-01
1.02565192625140e+08	6.86246989373242e-01,-1.91276781540378e-01	1.42563472207937e-03,1.12047594471143e-02	-2.02218855802643e+01,3.63265293935463e+00	9.49019178418256e-01,-1.51011981748147e-01
1.02588811852659e+08	6.86232501164393e-01,-1.91318542733725e-01	1.42626467528987e-03,1.12072432557627e-02	-2.02216263471536e+01,3.63344871605369e+00	9.49008249895333e-01,-1.51045040435166e-01
1.02612436519333e+08	6.86218006922085e-01,-1.91360311068533e-01	1.42689488956584e-03,1.12097275753120e-02	-2.02213670081011e+01,3.63424462090893e+00	9.48997316903303e-01,-1.51078104037325e-01
1.02636066626414e+08	6.86203506139334e-01,-1.91402088079393e-01	1.42752538931859e-03,1.12122124004248e-02	-2.02211075509694e+01,3.63504069755975e+00	9.48986378940165e-01,-1.51111174929546e-01
1.02659702175154e+08	6.86188998939678e-01,-1.91443873309282e-01	1.42815616967821e-03,1.12146977323196e-02	-2.02208479782537e+01,3.63583693707177e+00	9.48975436092106e-01,-1.51144252790812e-01
1.02683343166808e+08	6.86174485486911e-01,-1.91485666314567e-01	1.42878722183748e-03,1.12171835730316e-02	-2.02205882942956e+01,3.63663332345065e+00	9.48964488552668e-01,-1.51177336613316e-01
1.02706989602627e+08	6.86159965629127e-01,-1.91527467647880e-01	1.42941855165345e-03,1.12196699213111e-02	-2.02203284961094e+01,3.63742986701337e+00	9.48953536220853e-01,-1.51210426739003e-01
1.02730641483867e+08	6.86145439291228e-01,-1.91569277339575e-01	1.43005016554333e-03,1.12221567759141e-02	-2.02200685806701e+01,3.63822657908366e+00	9.48942578927885e-01,-1.51243524209531e-01
1.02754298811780e+08	6.86130906834810e-01,-1.91611094462335e-01	1.43068204344838e-03,1.12246441413349e-02	-2.02198085578241e+01,3.63902342350146e+00	9.48931617121838e-01,-1.51276626658929e-01
1.02777961587622e+08	6.86116368026726e-01,-1.91652919545323e-01	1.43131419912802e-03,1.12271320146827e-02	-2.02195484208747e+01,3.63982042475931e+00	9.48920650486142e-01,-1.51309735804209e-01
1.02801629812646e+08	6.86101822556198e-01,-1.91694753641288e-01	1.43194664581635e-03,1.12296203930494e-02	-2.02192881631473e+01,3.64061760637305e+00	9.48909678771427e-01,-1.51342852664005e-01
1.02825303488109e+08	6.86087270703690e-01,-1.91736595799270e-01	1.43257937135394e-03,1.12321092792930e-02	-2.02190277907848e+01,3.64141494636058e+00	9.48898702210798e-01,-1.51375976247837e-01
1.02848982615264e+08	6.86072712672296e-01,-1.91778445592836e-01	1.43321236303615e-03,1.12345986762578e-02	-2.02187673099512e+01,3.64221242177137e+00	9.48887721104024e-01,-1.51409104866557e-01
1.02872667195367e+08	6.86058148305297e-01,-1.91820303029760e-01	1.43384563521392e-03,1.12370885810592e-02	-2.02185067139110e+01,3.64301005814451e+00	9.48876735067443e-01,-1.51442240939638e-01
1.02896357229674e+08	6.86043577294506e-01,-1.91862169713385e-01	1.43447919272337e-03,1.12395789923920e-02	-2.02182459996795e+01,3.64380786391347e+00	9.48865744131405e-01,-1.51475383414848e-01
1.02920052719442e+08	6.86028999956737e-01,-1.91904044159673e-01	1.43511302792300e-03,1.12420699123121e-02	-2.02179851715209e+01,3.64460582522831e+00	9.48854748354909e-01,-1.51508532691438e-01
1.02943753665926e+08	6.86014416652822e-01,-1.91945925446581e-01	1.43574712077934e-03,1.12445613453170e-02	-2.02177242392682e+01,3.64540390605119e+00	9.48843748185640e-01,-1.51541686408965e-01
1.02967460070382e+08	6.85999826555741e-01,-1.91987816110472e-01	1.43638151057079e-03,1.12470532827021e-02	-2.02174631833368e+01,3.64620217647195e+00	9.48832742821231e-01,-1.51574848298963e-01
1.02991171934069e+08	6.85985230261299e-01,-1.92029714210011e-01	1.43701617048883e-03,1.12495457306264e-02	-2.02172020171980e+01,3.64700058834384e+00	9.48821732789884e-01,-1.51608016028334e-01
1.03014889258242e+08	6.85970627298545e-01,-1.92071621299990e-01	1.43765112120387e-03,1.12520386845022e-02	-2.02169407304563e+01,3.64779917843659e+00	9.48810717692409e-01,-1.51641191295396e-01
1.03038612044161e+08	6.85956018263367e-01,-1.92113535439935e-01	1.43828633590377e-03,1.12545321504894e-02	-2.02166793365786e+01,3.64859789862745e+00	9.48799698056475e-01,-1.51674371768354e-01
1.03062340293081e+08	6.85941402367616e-01,-1.92155459181314e-01	1.43892184998987e-03,1.12570261206846e-02	-2.02164178178051e+01,3.64939681199850e+00	9.48788673186750e-01,-1.51707560494890e-01
1.03086074006261e+08	6.85926780682067e-01,-1.92197389091907e-01	1.43955761459226e-03,1.12595206062149e-02	-2.02161561986317e+01,3.65019583103471e+00	9.48777644054622e-01,-1.51740753122627e-01
1.03109813184961e+08	6.85912151902528e-01,-1.92239329203947e-01	1.44019369115403e-03,1.12620155933766e-02	-2.02158944483960e+01,3.65099506532194e+00	9.48766609412288e-01,-1.51773955408760e-01
1.03133557830437e+08	6.85897517615268e-01,-1.92281274607146e-01	1.44083000478902e-03,1.12645110990983e-02	-2.02156326044908e+01,3.65179438091127e+00	9.48755570783737e-01,-1.51807160294918e-01
