Freq.	S11(V2)	S12(V2)	S21(V2)	S22(V2)
1.00577306300174e+09	(-5.70852374229507e+00dB,-1.14427012490248e+02°)	(-2.35399496429198e+01dB,4.91959705353776e+01°)	(2.10626609030303e+01dB,1.10788671767695e+02°)	(-6.01604613003171e+00dB,-5.82996007085737e+01°)
1.00600467747249e+09	(-5.70902545951003e+00dB,-1.14443568306292e+02°)	(-2.35390383957303e+01dB,4.91930461645031e+01°)	(2.10612489685040e+01dB,1.10779858853091e+02°)	(-6.01769096446395e+00dB,-5.83060430303355e+01°)
1.00623634528060e+09	(-5.70952707789369e+00dB,-1.14460124876923e+02°)	(-2.35381272335157e+01dB,4.91901225118236e+01°)	(2.10598368268763e+01dB,1.10771045695175e+02°)	(-6.01933612440453e+00dB,-5.83124849196589e+01°)
1.00646806643832e+09	(-5.71002862573487e+00dB,-1.14476681848341e+02°)	(-2.35372161209182e+01dB,4.91872000600529e+01°)	(2.10584245134692e+01dB,1.10762232776647e+02°)	(-6.02098159525670e+00dB,-5.83189262079275e+01°)
1.00669984095796e+09	(-5.71053007453647e+00dB,-1.14493239562039e+02°)	(-2.35363050917894e+01dB,4.91842783468953e+01°)	(2.10570119943953e+01dB,1.10753419635203e+02°)	(-6.02262739205644e+00dB,-5.83253670442435e+01°)
1.00693166885180e+09	(-5.71103145667100e+00dB,-1.14509797847513e+02°)	(-2.35353941334563e+01dB,4.91813575135199e+01°)	(2.10555992822916e+01dB,1.10744606411998e+02°)	(-6.02427349148085e+00dB,-5.83318076157044e+01°)
1.00716355013213e+09	(-5.71153277203210e+00dB,-1.14526356698787e+02°)	(-2.35344832451661e+01dB,4.91784375701114e+01°)	(2.10541863778752e+01dB,1.10735793117207e+02°)	(-6.02591989373411e+00dB,-5.83382479125892e+01°)
1.00739548481125e+09	(-5.71203398804193e+00dB,-1.14542916273821e+02°)	(-2.35335724380816e+01dB,4.91755183959789e+01°)	(2.10527732699475e+01dB,1.10726979630129e+02°)	(-6.02756662256740e+00dB,-5.83446877281952e+01°)
1.00762747290145e+09	(-5.71253516954050e+00dB,-1.14559476238673e+02°)	(-2.35326616876266e+01dB,4.91726002630564e+01°)	(2.10513599830489e+01dB,1.10718166222686e+02°)	(-6.02921363111815e+00dB,-5.83511274468085e+01°)
1.00785951441503e+09	(-5.71303621491706e+00dB,-1.14576036896365e+02°)	(-2.35317510061259e+01dB,4.91696831302326e+01°)	(2.10499465048186e+01dB,1.10709352853756e+02°)	(-6.03086099902117e+00dB,-5.83575661123186e+01°)
1.00809160936429e+09	(-5.71353722965998e+00dB,-1.14592598114582e+02°)	(-2.35308404024171e+01dB,4.91667667176366e+01°)	(2.10485328263832e+01dB,1.10700539243459e+02°)	(-6.03250863827827e+00dB,-5.83640050168153e+01°)
1.00832375776155e+09	(-5.71403814463361e+00dB,-1.14609160032122e+02°)	(-2.35299298769055e+01dB,4.91638511150902e+01°)	(2.10471189473016e+01dB,1.10691725481604e+02°)	(-6.03415660497651e+00dB,-5.83704434010788e+01°)
1.00855595961910e+09	(-5.71453902466929e+00dB,-1.14625722316002e+02°)	(-2.35290194050355e+01dB,4.91609365943333e+01°)	(2.10457048920936e+01dB,1.10682911839921e+02°)	(-6.03580485225630e+00dB,-5.83768816497562e+01°)
1.00878821494927e+09	(-5.71503977225982e+00dB,-1.14642285450423e+02°)	(-2.35281090217644e+01dB,4.91580227732070e+01°)	(2.10442906257660e+01dB,1.10674097936242e+02°)	(-6.03745345096001e+00dB,-5.83833191615787e+01°)
1.00902052376435e+09	(-5.71554048469919e+00dB,-1.14658848939416e+02°)	(-2.35271986906412e+01dB,4.91551100541370e+01°)	(2.10428761847339e+01dB,1.10665284172981e+02°)	(-6.03910233068329e+00dB,-5.83897565185287e+01°)
1.00925288607668e+09	(-5.71604106448697e+00dB,-1.14675413266520e+02°)	(-2.35262884466128e+01dB,4.91521980550767e+01°)	(2.10414615340147e+01dB,1.10656470168081e+02°)	(-6.04075156227874e+00dB,-5.83961931191227e+01°)
1.00948530189857e+09	(-5.71654160891032e+00dB,-1.14691977936478e+02°)	(-2.35253782532409e+01dB,4.91492871783131e+01°)	(2.10400467100107e+01dB,1.10647656323820e+02°)	(-6.04240107533733e+00dB,-5.84026295455966e+01°)
1.00971777124234e+09	(-5.71704208949491e+00dB,-1.14708543288330e+02°)	(-2.35244681443076e+01dB,4.91463769622592e+01°)	(2.10386316789039e+01dB,1.10638842178600e+02°)	(-6.04405088472909e+00dB,-5.84090659458957e+01°)
1.00995029412032e+09	(-5.71754246957848e+00dB,-1.14725109296995e+02°)	(-2.35235581083226e+01dB,4.91434676274247e+01°)	(2.10372164521490e+01dB,1.10630027952921e+02°)	(-6.04570102310261e+00dB,-5.84155017580302e+01°)
1.01018287054483e+09	(-5.71804278151569e+00dB,-1.14741675793762e+02°)	(-2.35226481326477e+01dB,4.91405593145848e+01°)	(2.10358010423480e+01dB,1.10621213787549e+02°)	(-6.04735146713617e+00dB,-5.84219371697625e+01°)
